,HAX,HAY,PW1X,PW1Y,PW2X,PW2Y,WWX,WWY,BOLX,BOLY,GDALX,GDALY,GSURFX,GSURFY,H2OX,H2OY,sun,mon,tue,wed,thu,fri,sat,Company,distance_dsH2OE,distance_dsGSF,distance_dsP1,distance_dsGD,distance_BOL,distance_dsWW,distance_dsP2,distance_GroundSurf,distance_H2OE,distance_PWl,distance_PW2,distance_GDAL,distance_BOLE,distance_WW
0,20,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,52,13,36,23,19,63,11,Water Works II,101124,368449,133225,131044,25921,3722098081,25921,607.0,318.0,365.0,161.0,362.0,161.0,247.0
1,20,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,13,28,42,5,4,29,88,Public Well 1,94864,356409,126025,123904,22801,3154956561,22801,597.0,308.0,355.0,151.0,352.0,151.0,237.0
2,20,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,51,68,55,54,59,79,63,Public Well 1,88804,344569,119025,116964,19881,2655237841,19881,587.0,298.0,345.0,141.0,342.0,141.0,227.0
3,20,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,2,51,43,72,73,50,Public Well 1,82944,332929,112225,110224,17161,2217373921,17161,577.0,288.0,335.0,131.0,332.0,131.0,217.0
4,20,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,53,7,42,41,2,7,51,Glendale Wells,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0
5,20,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,64,28,2,38,37,61,14,Public Well 2,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0
6,20,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,65,57,41,10,56,16,12,H2O Engine,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0
7,20,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,3,7,36,65,42,30,58,H2O Engine,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0
8,20,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,37,28,18,31,56,19,1,Glendale Wells,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0
9,20,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,28,5,44,13,20,10,99,Glendale Wells,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0
10,20,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,0,10,27,49,25,79,3,Glendale Wells,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0
11,20,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,38,29,20,68,35,15,28,H2O Engine,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0
12,20,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,46,67,19,19,47,77,0,Ground Surf,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0
13,20,150,250,155,125,76,58,229,123,78,221,181,466,181,318,40,22,34,46,36,25,30,77,Ground Surf,35344,227529,55225,53824,961,187388721,961,477.0,188.0,235.0,31.0,232.0,31.0,117.0
14,20,160,250,155,125,76,58,229,123,78,221,181,466,181,318,40,83,58,33,44,33,34,66,H2O Engine,31684,218089,50625,49284,441,131079601,441,467.0,178.0,225.0,21.0,222.0,21.0,107.0
15,20,170,250,155,125,76,58,229,123,78,221,181,466,181,318,40,34,61,3,7,66,62,51,Bowles W&S,28224,208849,46225,44944,121,88529281,121,457.0,168.0,215.0,11.0,212.0,11.0,97.0
16,20,180,250,155,125,76,58,229,123,78,221,181,466,181,318,40,63,23,9,49,61,50,26,Ground Surf,24964,199809,42025,40804,1,57289761,1,447.0,158.0,205.0,1.0,202.0,1.0,87.0
17,20,190,250,155,125,76,58,229,123,78,221,181,466,181,318,40,29,17,23,25,50,3,52,Bowles W&S,21904,190969,38025,36864,81,35153041,81,437.0,148.0,195.0,9.0,192.0,9.0,77.0
18,20,200,250,155,125,76,58,229,123,78,221,181,466,181,318,40,29,34,57,37,2,82,59,Public Well 1,19044,182329,34225,33124,361,20151121,361,427.0,138.0,185.0,19.0,182.0,19.0,67.0
19,20,210,250,155,125,76,58,229,123,78,221,181,466,181,318,40,57,63,18,15,59,6,39,Bowles W&S,16384,173889,30625,29584,841,10556001,841,417.0,128.0,175.0,29.0,172.0,29.0,57.0
20,20,220,250,155,125,76,58,229,123,78,221,181,466,181,318,40,2,41,56,34,49,35,79,Ground Surf,13924,165649,27225,26244,1521,4879681,1521,407.0,118.0,165.0,39.0,162.0,39.0,47.0
21,20,230,250,155,125,76,58,229,123,78,221,181,466,181,318,40,30,26,51,36,17,47,13,Ground Surf,11664,157609,24025,23104,2401,1874161,2401,397.0,108.0,155.0,49.0,152.0,49.0,37.0
22,20,240,250,155,125,76,58,229,123,78,221,181,466,181,318,40,28,24,30,22,31,64,91,H2O Engine,9604,149769,21025,20164,3481,531441,3481,387.0,98.0,145.0,59.0,142.0,59.0,27.0
23,20,250,250,155,125,76,58,229,123,78,221,181,466,181,318,40,0,0,59,1,45,50,44,Glendale Wells,7744,142129,18225,17424,4761,83521,4761,377.0,88.0,135.0,69.0,132.0,69.0,17.0
24,20,260,250,155,125,76,58,229,123,78,221,181,466,181,318,40,34,39,34,45,62,17,13,Water Works II,6084,134689,15625,14884,6241,2401,6241,367.0,78.0,125.0,79.0,122.0,79.0,7.0
25,20,270,250,155,125,76,58,229,123,78,221,181,466,181,318,40,18,58,46,57,4,23,23,Public Well 1,4624,127449,13225,12544,7921,81,7921,357.0,68.0,115.0,89.0,112.0,89.0,3.0
26,20,280,250,155,125,76,58,229,123,78,221,181,466,181,318,40,6,2,3,19,66,22,21,Public Well 2,3364,120409,11025,10404,9801,28561,9801,347.0,58.0,105.0,99.0,102.0,99.0,13.0
27,20,290,250,155,125,76,58,229,123,78,221,181,466,181,318,40,26,38,15,57,52,73,41,Bowles W&S,2304,113569,9025,8464,11881,279841,11881,337.0,48.0,95.0,109.0,92.0,109.0,23.0
28,20,300,250,155,125,76,58,229,123,78,221,181,466,181,318,40,23,26,3,16,27,22,23,Ground Surf,1444,106929,7225,6724,14161,1185921,14161,327.0,38.0,85.0,119.0,82.0,119.0,33.0
29,30,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,71,52,22,67,26,13,12,Water Works II,94864,356409,126025,123904,22801,3154956561,22801,597.0,308.0,355.0,151.0,352.0,151.0,237.0
30,30,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,38,6,41,14,24,56,38,Ground Surf,88804,344569,119025,116964,19881,2655237841,19881,587.0,298.0,345.0,141.0,342.0,141.0,227.0
