,A,B,C,D,sun,mon,tue,wed,thu,fri,sat,x_diff,y_diff,weekend_total,weekday_total,weekday_avg,weekend_avg,wk_cost_prod,wk_cost_sell,margin_wkday,wkend_cost_prod,wkend_cost_sell,margin_wkend,distance_sq,disFCenterWell,line_charge,water_sold
0,20,20,110,110,20,8,13,69,74,8,64,90,90,92,164,41.0,30.666666666666668,44.28,59.04,14.759999999999998,22.08,37.72,15.64,16200,127.28,11.46,111.47
1,20,30,110,110,19,32,20,41,16,0,76,90,80,95,109,27.25,31.666666666666668,29.430000000000003,39.24,9.809999999999999,22.8,38.949999999999996,16.149999999999995,14500,120.42,10.84,91.7
2,20,40,110,110,19,54,26,17,33,4,19,90,70,42,130,32.5,14.0,35.1,46.8,11.699999999999996,10.08,17.22,7.139999999999999,13000,114.02,10.26,76.51
3,20,50,110,110,49,67,45,23,58,87,49,90,60,185,193,48.25,61.666666666666664,52.11000000000001,69.48,17.369999999999997,44.4,75.85,31.449999999999996,11700,108.17,9.74,159.72
4,20,60,110,110,8,1,34,63,73,35,35,90,50,78,171,42.75,26.0,46.17,61.559999999999995,15.389999999999993,18.72,31.979999999999997,13.259999999999998,10600,102.96,9.27,105.89
5,20,70,110,110,46,37,25,7,2,90,56,90,40,192,71,17.75,64.0,19.17,25.56,6.389999999999997,46.08,78.72,32.64,9700,98.49,6.89,114.51
6,20,80,110,110,26,59,60,17,11,85,48,90,30,159,147,36.75,53.0,39.690000000000005,52.919999999999995,13.22999999999999,38.16,65.19,27.03,9000,94.87,6.64,128.49
7,20,90,110,110,2,19,31,40,51,26,28,90,20,56,141,35.25,18.666666666666668,38.07,50.76,12.689999999999998,13.44,22.959999999999997,9.519999999999998,8500,92.2,6.45,82.58
8,20,100,110,110,59,9,20,39,66,77,12,90,10,148,134,33.5,49.333333333333336,36.18,48.239999999999995,12.059999999999995,35.519999999999996,60.68,25.160000000000004,8200,90.55,6.34,118.72
9,20,110,110,110,10,53,41,49,5,33,23,90,0,66,148,37.0,22.0,39.96,53.28,13.32,15.84,27.06,11.219999999999999,8100,90.0,6.3,89.24
10,20,120,110,110,40,65,37,11,8,68,79,90,-10,187,121,30.25,62.333333333333336,32.67,43.559999999999995,10.889999999999993,44.879999999999995,76.67,31.790000000000006,8200,90.55,6.34,130.37
11,20,130,110,110,40,54,46,32,69,1,60,90,-20,101,201,50.25,33.666666666666664,54.27,72.36,18.089999999999996,24.24,41.41,17.169999999999998,8500,92.2,6.45,123.83
12,20,140,110,110,27,52,14,34,66,17,98,90,-30,142,166,41.5,47.333333333333336,44.82,59.76,14.939999999999998,34.08,58.22,24.14,9000,94.87,6.64,128.36
13,20,150,110,110,65,57,34,51,20,39,3,90,-40,107,162,40.5,35.666666666666664,43.74,58.32,14.579999999999998,25.68,43.87,18.189999999999998,9700,98.49,6.89,112.35
14,20,160,110,110,45,27,11,34,79,68,52,90,-50,165,151,37.75,55.0,40.77,54.36,13.589999999999996,39.6,67.64999999999999,28.04999999999999,10600,102.96,9.27,135.22
15,20,170,110,110,61,67,47,70,22,29,38,90,-60,128,206,51.5,42.666666666666664,55.620000000000005,74.16,18.539999999999992,30.72,52.48,21.759999999999998,11700,108.17,9.74,140.47
16,20,180,110,110,22,10,10,64,42,50,58,90,-70,130,126,31.5,43.333333333333336,34.02,45.36,11.339999999999996,31.2,53.3,22.099999999999998,13000,114.02,10.26,112.19
17,20,190,110,110,42,37,22,45,34,58,55,90,-80,155,138,34.5,51.666666666666664,37.260000000000005,49.68,12.419999999999995,37.199999999999996,63.55,26.35,14500,120.42,10.84,127.79
18,20,200,110,110,66,65,6,15,16,58,52,90,-90,176,102,25.5,58.666666666666664,27.540000000000003,36.72,9.179999999999996,42.239999999999995,72.16,29.92,16200,127.28,11.46,123.95
19,20,210,110,110,12,6,4,13,63,22,57,90,-100,91,86,21.5,30.333333333333332,23.220000000000002,30.959999999999997,7.739999999999995,21.84,37.309999999999995,15.469999999999995,18100,134.54,12.11,82.79
20,20,220,110,110,41,11,3,62,0,17,40,90,-110,98,76,19.0,32.666666666666664,20.520000000000003,27.36,6.839999999999996,23.52,40.18,16.66,20200,142.13,12.79,82.74
21,20,230,110,110,84,41,58,34,77,31,16,90,-120,131,210,52.5,43.666666666666664,56.7,75.6,18.89999999999999,31.439999999999998,53.709999999999994,22.269999999999996,22500,150.0,13.5,147.09
22,20,240,110,110,8,56,5,13,48,84,55,90,-130,147,122,30.5,49.0,32.940000000000005,43.92,10.979999999999997,35.28,60.269999999999996,24.989999999999995,25000,158.11,14.23,121.97
23,20,250,110,110,43,9,16,67,61,83,97,90,-140,223,153,38.25,74.33333333333333,41.31,55.08,13.769999999999996,53.519999999999996,91.42999999999999,37.91,27700,166.43,14.98,166.33
24,20,260,110,110,30,8,37,70,20,85,61,90,-150,176,135,33.75,58.666666666666664,36.45,48.6,12.149999999999999,42.239999999999995,72.16,29.92,30600,174.93,15.74,140.6
