,HAX,HAY,PW1X,PW1Y,PW2X,PW2Y,WWX,WWY,BOLX,BOLY,GDALX,GDALY,GSURFX,GSURFY,H2OX,H2OY,sun,mon,tue,wed,thu,fri,sat,Company,distance_dsH2OE,distance_dsGSF,distance_dsP1,distance_dsGD,distance_BOL,distance_dsWW,distance_dsP2,distance_GroundSurf,distance_H2OE,distance_PWl,distance_PW2,distance_GDAL,distance_BOLE,distance_WW,weekend_total,weekday_total,weekday_avg,weekend_avg,wk_cost_prod,wk_cost_sell,wk_cost_prodpriv,wk_cost_sellpriv,margin_wkday,margin_wkdaypriv,wkend_cost_prod,wkend_cost_sell,wkend_cost_prodpriv,wkend_cost_sellpriv,margin_wkend,margin_wkendpriv,line_chargePWells_2,line_charge_WWII,line_charge_GDAL,line_charge_GSURF,line_charge_H2OE,line_charge_BOLE,line_chargePWells_1,water_billPW2,water_billWWII,water_billGDAL,water_billGSURF,water_billH20E,water_billBOLE,water_billPW1
0,20,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,52,13,36,23,19,63,11,Water Works II,101124,368449,133225,131044,25921,3722098081,25921,607.0,318.0,365.0,161.0,362.0,161.0,247.0,126,91,22.75,42.0,24.57,32.76,26.389999999999997,37.309999999999995,8.189999999999998,10.919999999999998,30.24,51.66,31.5,46.62,21.419999999999998,15.119999999999997,14.49,19.76,50.68,97.12,47.7,17.71,47.45,101.88,107.31,139.15,186.99,136.08,105.19,135.83
1,20,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,13,28,42,5,4,29,88,Public Well 1,94864,356409,126025,123904,22801,3154956561,22801,597.0,308.0,355.0,151.0,352.0,151.0,237.0,130,79,19.75,43.333333333333336,21.330000000000002,28.439999999999998,22.91,32.39,7.109999999999996,9.48,31.2,53.3,32.5,48.1,22.099999999999998,15.600000000000001,13.59,18.96,49.28,95.52,46.2,16.61,46.15,98.19,103.72,134.95,182.58,131.78,101.3,131.73
2,20,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,51,68,55,54,59,79,63,Public Well 1,88804,344569,119025,116964,19881,2655237841,19881,587.0,298.0,345.0,141.0,342.0,141.0,227.0,193,236,59.0,64.33333333333333,63.720000000000006,84.96,68.44,96.75999999999999,21.239999999999988,28.319999999999993,46.32,79.13,48.25,71.41,32.809999999999995,23.159999999999997,12.69,18.16,47.88,93.92,44.7,15.51,44.85,182.08,187.72,218.33,265.75,215.05,184.99,215.21
3,20,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,2,51,43,72,73,50,Public Well 1,82944,332929,112225,110224,17161,2217373921,17161,577.0,288.0,335.0,131.0,332.0,131.0,217.0,163,168,42.0,54.333333333333336,45.36,60.48,48.72,68.88,15.119999999999997,20.159999999999997,39.12,66.83,40.75,60.31,27.71,19.560000000000002,11.79,17.36,46.48,92.32,43.2,10.48,43.55,143.27,149.01,179.0,226.22,175.63,141.92,175.99
4,20,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,53,7,42,41,2,7,51,Glendale Wells,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0,111,92,23.0,37.0,24.840000000000003,33.12,26.68,37.72,8.279999999999994,11.04,26.64,45.51,27.75,41.07,18.869999999999997,13.32,10.89,16.56,45.08,90.72,41.7,9.68,42.25,92.21,98.05,127.42,174.43,123.94,90.96,124.51
5,20,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,64,28,2,38,37,61,14,Public Well 2,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0,139,105,26.25,46.333333333333336,28.35,37.8,30.45,43.05,9.449999999999996,12.599999999999998,33.36,56.989999999999995,34.75,51.43,23.629999999999995,16.68,9.99,15.76,43.68,89.12,40.2,8.88,40.95,107.92,113.87,142.62,189.43,139.04,106.78,139.81
6,20,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,65,57,41,10,56,16,12,H2O Engine,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0,93,164,41.0,31.0,44.28,59.04,47.559999999999995,67.24,14.759999999999998,19.68,22.32,38.129999999999995,23.25,34.41,15.809999999999995,11.159999999999997,9.09,14.96,42.28,87.52,38.7,8.08,39.65,109.45,115.49,143.63,190.23,139.95,108.41,140.92
7,20,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,3,7,36,65,42,30,58,H2O Engine,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0,91,150,37.5,30.333333333333332,40.5,54.0,43.5,61.49999999999999,13.5,17.999999999999993,21.84,37.309999999999995,22.75,33.67,15.469999999999995,10.920000000000002,6.37,14.16,40.88,85.92,32.24,7.28,32.45,100.61,108.63,136.16,182.55,127.26,101.55,127.47
8,20,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,37,28,18,31,56,19,1,Glendale Wells,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0,57,133,33.25,19.0,35.910000000000004,47.879999999999995,38.57,54.529999999999994,11.969999999999992,15.959999999999994,13.68,23.369999999999997,14.25,21.09,9.689999999999998,6.84,5.67,13.36,39.48,84.32,30.94,6.48,31.35,79.23,87.15,114.05,160.24,105.26,80.06,105.68
9,20,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,28,5,44,13,20,10,99,Glendale Wells,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0,137,82,20.5,45.666666666666664,22.14,29.52,23.779999999999998,33.62,7.379999999999999,9.84,32.879999999999995,56.169999999999995,34.25,50.69,23.29,16.439999999999998,4.97,12.56,38.08,82.72,29.64,5.68,30.25,93.38,101.2,127.48,173.46,118.79,94.11,119.42
10,20,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,0,10,27,49,25,79,3,Glendale Wells,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0,82,111,27.75,27.333333333333332,29.970000000000002,39.96,32.19,45.51,9.989999999999998,13.32,19.68,33.62,20.5,30.34,13.939999999999998,9.84,4.27,11.76,36.68,81.12,28.34,4.88,29.15,80.19,87.9,113.57,159.34,104.98,80.81,105.81
11,20,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,38,29,20,68,35,15,28,H2O Engine,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0,81,152,38.0,27.0,41.040000000000006,54.72,44.08,62.31999999999999,13.679999999999993,18.239999999999995,19.439999999999998,33.21,20.25,29.97,13.770000000000003,9.719999999999999,3.57,10.96,35.28,79.52,27.04,4.08,28.05,94.24,101.86,126.91,172.47,118.42,94.77,119.46
12,20,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,46,67,19,19,47,77,0,Ground Surf,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0,123,152,38.0,41.0,41.040000000000006,54.72,44.08,62.31999999999999,13.679999999999993,18.239999999999995,29.52,50.43,30.75,45.51,20.91,14.759999999999998,2.87,10.16,24.2,77.92,17.82,3.28,26.95,111.26,118.77,133.23,188.56,126.66,111.68,136.06
